run,dataset,dim,scope,n_kernels,rho_rank_ktaood,rho_rank_survival
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s999,ember,4,classical_only,19,0.9228070175438597,0.843859649122807
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s999,ember,6,all,23,0.9861660079051384,0.884387351778656
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s999,ember,6,classical_only,19,0.9824561403508772,0.8052631578947368
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s999,ember,8,all,23,0.991106719367589,0.983201581027668
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s999,ember,8,classical_only,19,0.9894736842105263,0.9824561403508772
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s999,ember,10,all,23,0.9881422924901186,0.9841897233201581
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s999,ember,10,classical_only,19,0.9912280701754386,0.9824561403508772
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s999,ember,12,all,23,0.9733201581027668,0.9812252964426879
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s999,ember,12,classical_only,19,0.9894736842105263,0.9824561403508772
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s123,ember,4,all,23,0.9179841897233202,0.549407114624506
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s123,ember,4,classical_only,19,0.9017543859649122,0.487719298245614
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s123,ember,6,all,23,0.9446640316205533,0.5553359683794467
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s123,ember,6,classical_only,19,0.9105263157894736,0.519298245614035
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s123,ember,8,all,23,0.9901185770750988,0.8428853754940712
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s123,ember,8,classical_only,19,0.9859649122807018,0.7333333333333334
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s123,ember,10,all,23,0.9703557312252965,0.933794466403162
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s123,ember,10,classical_only,19,0.980701754385965,0.8947368421052632
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s123,ember,12,all,23,0.9614624505928853,0.9318181818181819
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s123,ember,12,classical_only,19,0.9771929824561404,0.8912280701754386
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember,4,all,23,0.9179841897233202,0.549407114624506
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember,4,classical_only,19,0.9017543859649122,0.487719298245614
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember,6,all,23,0.9446640316205533,0.5553359683794467
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember,6,classical_only,19,0.9105263157894736,0.519298245614035
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember,8,all,23,0.9901185770750988,0.8428853754940712
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember,8,classical_only,19,0.9859649122807018,0.7333333333333334
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember,10,all,23,0.9703557312252965,0.933794466403162
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember,10,classical_only,19,0.980701754385965,0.8947368421052632
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember,12,all,23,0.9614624505928853,0.9318181818181819
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,ember,12,classical_only,19,0.9771929824561404,0.8912280701754386
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s999,ember,4,all,23,0.9179841897233202,0.549407114624506
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s999,ember,4,classical_only,19,0.9017543859649122,0.487719298245614
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s999,ember,6,all,23,0.9446640316205533,0.5553359683794467
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s999,ember,6,classical_only,19,0.9105263157894736,0.519298245614035
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s999,ember,8,all,23,0.9901185770750988,0.8428853754940712
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s999,ember,8,classical_only,19,0.9859649122807018,0.7333333333333334
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s999,ember,10,all,23,0.9703557312252965,0.933794466403162
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s999,ember,10,classical_only,19,0.980701754385965,0.8947368421052632
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s999,ember,12,all,23,0.9614624505928853,0.9318181818181819
m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s999,ember,12,classical_only,19,0.9771929824561404,0.8912280701754386
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s123,ember,4,all,23,0.8814229249011858,0.49802371541501983
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s123,ember,4,classical_only,19,0.9017543859649122,0.4842105263157894
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s123,ember,6,all,23,0.9397233201581027,0.5059288537549407
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s123,ember,6,classical_only,19,0.9315789473684211,0.443859649122807
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s123,ember,8,all,23,0.9703557312252965,0.8023715415019764
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s123,ember,8,classical_only,19,0.9649122807017543,0.7350877192982455
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s123,ember,10,all,23,0.9772727272727272,0.882411067193676
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s123,ember,10,classical_only,19,0.9771929824561404,0.8070175438596491
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s123,ember,12,all,23,0.958498023715415,0.9644268774703558
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s123,ember,12,classical_only,19,0.9824561403508772,0.9912280701754386
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember,4,all,23,0.8814229249011858,0.49802371541501983
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember,4,classical_only,19,0.9017543859649122,0.4842105263157894
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember,6,all,23,0.9397233201581027,0.5059288537549407
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember,6,classical_only,19,0.9315789473684211,0.443859649122807
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember,8,all,23,0.9703557312252965,0.8023715415019764
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember,8,classical_only,19,0.9649122807017543,0.7350877192982455
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember,10,all,23,0.9772727272727272,0.882411067193676
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember,10,classical_only,19,0.9771929824561404,0.8070175438596491
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember,12,all,23,0.958498023715415,0.9644268774703558
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,ember,12,classical_only,19,0.9824561403508772,0.9912280701754386
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,4,all,23,0.8814229249011858,0.49802371541501983
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,4,classical_only,19,0.9017543859649122,0.4842105263157894
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,6,all,23,0.9397233201581027,0.5059288537549407
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,6,classical_only,19,0.9315789473684211,0.443859649122807
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,8,all,23,0.9703557312252965,0.8023715415019764
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,8,classical_only,19,0.9649122807017543,0.7350877192982455
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,10,all,23,0.9772727272727272,0.882411067193676
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,10,classical_only,19,0.9771929824561404,0.8070175438596491
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,12,all,23,0.958498023715415,0.9644268774703558
m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s999,ember,12,classical_only,19,0.9824561403508772,0.9912280701754386
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,4,all,23,0.9219367588932808,0.6907114624505929
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,4,classical_only,19,0.9017543859649122,0.6491228070175438
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,6,all,23,0.9367588932806324,0.8636363636363636
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,6,classical_only,19,0.9192982456140351,0.8210526315789475
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,8,all,23,0.9822134387351777,0.9654150197628459
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,8,classical_only,19,0.975438596491228,0.9736842105263157
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,10,all,23,0.983201581027668,0.9634387351778656
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,10,classical_only,19,0.975438596491228,0.9649122807017543
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,12,all,23,0.8478260869565217,0.5741106719367589
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s123,ember,12,classical_only,19,0.9087719298245613,0.712280701754386
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,4,all,23,0.9219367588932808,0.6907114624505929
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,4,classical_only,19,0.9017543859649122,0.6491228070175438
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,6,all,23,0.9367588932806324,0.8636363636363636
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,6,classical_only,19,0.9192982456140351,0.8210526315789475
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,8,all,23,0.9822134387351777,0.9654150197628459
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,8,classical_only,19,0.975438596491228,0.9736842105263157
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,10,all,23,0.983201581027668,0.9634387351778656
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,10,classical_only,19,0.975438596491228,0.9649122807017543
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,12,all,23,0.8478260869565217,0.5741106719367589
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s42,ember,12,classical_only,19,0.9087719298245613,0.712280701754386
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,4,all,23,0.9219367588932808,0.6907114624505929
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,4,classical_only,19,0.9017543859649122,0.6491228070175438
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,6,all,23,0.9367588932806324,0.8636363636363636
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,6,classical_only,19,0.9192982456140351,0.8210526315789475
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,8,all,23,0.9822134387351777,0.9654150197628459
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,8,classical_only,19,0.975438596491228,0.9736842105263157
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,10,all,23,0.983201581027668,0.9634387351778656
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,10,classical_only,19,0.975438596491228,0.9649122807017543
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,12,all,23,0.8478260869565217,0.5741106719367589
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,12,classical_only,19,0.9087719298245613,0.712280701754386
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,4,all,23,0.9298418972332017,0.6521739130434783
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,4,classical_only,19,0.9526315789473684,0.6280701754385966
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,6,all,23,0.9318181818181819,0.5227272727272728
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,6,classical_only,19,0.9017543859649122,0.48245614035087714
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,8,all,23,0.9752964426877472,0.6926877470355731
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,8,classical_only,19,0.9719298245614034,0.6543859649122807
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,10,all,23,0.9733201581027668,0.6946640316205535
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,10,classical_only,19,0.9701754385964911,0.5929824561403508
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,12,all,23,0.8972332015810277,0.9061264822134387
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,12,classical_only,19,0.9403508771929823,0.9526315789473684
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,4,all,23,0.9298418972332017,0.6521739130434783
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,4,classical_only,19,0.9526315789473684,0.6280701754385966
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,6,all,23,0.9318181818181819,0.5227272727272728
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,6,classical_only,19,0.9017543859649122,0.48245614035087714
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,8,all,23,0.9752964426877472,0.6926877470355731
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,8,classical_only,19,0.9719298245614034,0.6543859649122807
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,10,all,23,0.9733201581027668,0.6946640316205535
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,10,classical_only,19,0.9701754385964911,0.5929824561403508
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,12,all,23,0.8972332015810277,0.9061264822134387
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,12,classical_only,19,0.9403508771929823,0.9526315789473684
